Name;Sector;Lat;Long;CO-low(Gg/year);CO-high(Gg/year);CO-mean(Gg/year)
DAX OIL REFINO S.A. (DAX OIL);Petroleum refining;-12.623253;-38.091759;4.185525465;19.37743271;11.78147909
LUBRIFICANTES E DERIVADOS DE PETRÓLEO DO NORDESTE (LUBNOR);Petroleum refining;-3.716949;-38.470701;27.75050591;128.4745644;78.11253516
REFINARIA DE PETRÓLEO DE MANGUINHOS S.A. (MANGUINHOS);Petroleum refining;-22.887058;-43.236950;40.00539617;185.2101675;112.6077818
REFINARIA DE CAPUAVA (RECAP);Petroleum refining;-23.639649;-46.484534;170.7550203;790.5325012;480.6437607
REFINARIA DUQUE DE CAXIAS (REDUC);Petroleum refining;-22.716360;-43.266222;864.6980685;4003.231799;2433.964934
REFINARIA ALBERTO PASQUALINI (REFAP);Petroleum refining;-29.872948;-51.167265;595.4565592;2756.74333;1676.099944
REFINARIA GABRIEL PASSOS (REGAP);Petroleum refining;-19.971965;-44.096005;530.122931;2454.272829;1492.19788
REFINARIA ISAAC SABÁ (REMAN);Petroleum refining;-3.146537;-59.954154;169.5956746;785.16516;477.3804173
REFINARIA PRESIDENTE GETÚLIO VARGAS (REPAR);Petroleum refining;-25.569079;-49.363216;773.1179116;3579.249591;2176.183751
REFINARIA DE PAULÍNIA (REPLAN);Petroleum refining;-22.729165;-47.135769;1508.113555;6982.007198;4245.060377
REFINARIA HENRIQUE LAGE (REVAP);Petroleum refining;-23.189659;-45.818118;960.5524092;4447.001894;2703.777152
REFINARIA DE PETRÓLEO RIOGRANDENSE S.A. (RIOGRANDENSE);Petroleum refining;-32.043478;-52.090103;60.11931279;278.3301518;169.2247323
REFINARIA LANDULPHO ALVES (RLAN);Petroleum refining;-12.709800;-38.573005;948.2281006;4389.94491;2669.086505
REFINARIA PRESIDENTE BERNARDES (RPBC);Petroleum refining;-23.871505;-46.435574;603.3561562;2793.315538;1698.335847
REFINARIA POTIGUAR CLARA CAMARÃO (RPCC);Petroleum refining;-5.132171;-36.384542;136.2945468;630.993272;383.6439094
UNIVEN REFINARIA DE PETRÓLEO LTDA (UNIVEN);Petroleum refining;-23.139097;-47.024919;20.7553651;96.08965325;58.42250918
VOTORANTIM 1 - CE;Portland cement;-3.551047;-38.827241;0.090666667;2.795555556;1.443111111
VOTORANTIM 2 - CE;Portland cement;-3.686344;-40.374086;0.090666667;2.795555556;1.443111111
