Name;Sector;Lat;Long;CO2-low(Gg/year);CO2-high(Gg/year);CO2-mean(Gg/year)
DAX OIL REFINO S.A. (DAX OIL);Petroleum refining;-12.623253;-38.091759;69.75875775;193.7743271;131.7665424
LUBRIFICANTES E DERIVADOS DE PETRÓLEO DO NORDESTE (LUBNOR);Petroleum refining;-3.716949;-38.470701;462.5084318;1284.745644;873.6270379
REFINARIA DE PETRÓLEO DE MANGUINHOS S.A. (MANGUINHOS);Petroleum refining;-22.887058;-43.236950;666.7566029;1852.101675;1259.429139
REFINARIA DE CAPUAVA (RECAP);Petroleum refining;-23.639649;-46.484534;2845.917004;7905.325012;5375.621008
REFINARIA DUQUE DE CAXIAS (REDUC);Petroleum refining;-22.716360;-43.266222;14411.63448;40032.31799;27221.97623
REFINARIA ALBERTO PASQUALINI (REFAP);Petroleum refining;-29.872948;-51.167265;9924.275987;27567.4333;18745.85464
REFINARIA GABRIEL PASSOS (REGAP);Petroleum refining;-19.971965;-44.096005;8835.382184;24542.72829;16689.05524
REFINARIA ISAAC SABÁ (REMAN);Petroleum refining;-3.146537;-59.954154;2826.594576;7851.6516;5339.123088
REFINARIA PRESIDENTE GETÚLIO VARGAS (REPAR);Petroleum refining;-25.569079;-49.363216;12885.29853;35792.49591;24338.89722
REFINARIA DE PAULÍNIA (REPLAN);Petroleum refining;-22.729165;-47.135769;25135.22591;69820.07198;47477.64895
REFINARIA HENRIQUE LAGE (REVAP);Petroleum refining;-23.189659;-45.818118;16009.20682;44470.01894;30239.61288
REFINARIA DE PETRÓLEO RIOGRANDENSE S.A. (RIOGRANDENSE);Petroleum refining;-32.043478;-52.090103;1001.988547;2783.301518;1892.645032
REFINARIA LANDULPHO ALVES (RLAN);Petroleum refining;-12.709800;-38.573005;15803.80168;43899.4491;29851.62539
REFINARIA PRESIDENTE BERNARDES (RPBC);Petroleum refining;-23.871505;-46.435574;10055.93594;27933.15538;18994.54566
REFINARIA POTIGUAR CLARA CAMARÃO (RPCC);Petroleum refining;-5.132171;-36.384542;2271.575779;6309.93272;4290.75425
UNIVEN REFINARIA DE PETRÓLEO LTDA (UNIVEN);Petroleum refining;-23.139097;-47.024919;345.9227517;960.8965325;653.4096421
VOTORANTIM 1 - CE;Portland cement;-3.551047;-38.827241;1360;1586.666667;1473.333333
VOTORANTIM 2 - CE;Portland cement;-3.686344;-40.374086;1360;1586.666667;1473.333333
VOTORANTIM 3 - GO;Portland cement;-15.621271;-47.865104;1360;1586.666667;1473.333333
VOTORANTIM 4 - GO;Portland cement;-17.424241;-49.665323;1360;1586.666667;1473.333333
VOTORANTIM 5 - MT;Portland cement;-15.597011;-55.962873;1360;1586.666667;1473.333333
VOTORANTIM 6 - MT;Portland cement;-14.738307;-56.325399;1360;1586.666667;1473.333333
VOTORANTIM 7 - MS;Portland cement;-19.021274;-57.625928;1360;1586.666667;1473.333333
VOTORANTIM 8 - MS;Portland cement;-20.535113;-54.581787;1360;1586.666667;1473.333333
VOTORANTIM 9 - MG;Portland cement;-20.758502;-46.765161;1360;1586.666667;1473.333333
VOTORANTIM 10 - PR;Portland cement;-25.192213;-49.303973;1360;1586.666667;1473.333333
VOTORANTIM 11 - PA;Portland cement;-1.535232;-48.615486;1360;1586.666667;1473.333333
VOTORANTIM 12 - PE;Portland cement;-0.945743;-47.114490;1360;1586.666667;1473.333333
VOTORANTIM 13 -PE;Portland cement;-7.883831;-40.077160;1360;1586.666667;1473.333333
VOTORANTIM 14 -PE;Portland cement;-7.934352;-34.868044;1360;1586.666667;1473.333333
VOTORANTIM 15 -RS;Portland cement;-31.562696;-53.717756;1360;1586.666667;1473.333333
VOTORANTIM 16 -RS;Portland cement;-29.999305;-51.654191;1360;1586.666667;1473.333333
VOTORANTIM 17 -RS;Portland cement;-29.849124;-51.189419;1360;1586.666667;1473.333333
VOTORANTIM 18 -RS;Portland cement;-31.583267;-53.376706;1360;1586.666667;1473.333333
VOTORANTIM 19 -RJ;Portland cement;-21.980591;-42.358974;1360;1586.666667;1473.333333
VOTORANTIM 20 -RJ;Portland cement;-22.883923;-43.725968;1360;1586.666667;1473.333333
VOTORANTIM 21 - RJ;Portland cement;-22.501560;-44.127541;1360;1586.666667;1473.333333
VOTORANTIM 22 -RO;Portland cement;-8.735670;-63.817820;1360;1586.666667;1473.333333
VOTORANTIM 23 - SC;Portland cement;-28.437942;-48.964934;1360;1586.666667;1473.333333
VOTORANTIM 24 -SC;Portland cement;-28.233396;-48.661437;1360;1586.666667;1473.333333
VOTORANTIM 25 - SC;Portland cement;-26.859714;-48.667429;1360;1586.666667;1473.333333
VOTORANTIM 26- SC;Portland cement;-28.426057;-48.938896;1360;1586.666667;1473.333333
VOTORANTIM 27 - SE;Portland cement;-10.797551;-37.166303;1360;1586.666667;1473.333333
VOTORANTIM 28 - SP;Portland cement;-24.111268;-48.371378;1360;1586.666667;1473.333333
VOTORANTIM 29 - SP;Portland cement;-23.514500;-46.883592;1360;1586.666667;1473.333333
VOTORANTIM 30 - SP;Portland cement;-23.366762;-46.878889;1360;1586.666667;1473.333333
VOTORANTIM 31 - SP;Portland cement;-23.855934;-46.412328;1360;1586.666667;1473.333333
VOTORANTIM 32 - SP;Portland cement;-23.985875;-48.917429;1360;1586.666667;1473.333333
VOTORANTIM 33 - SP;Portland cement;-22.583292;-47.357917;1360;1586.666667;1473.333333
VOTORANTIM 34 - SP;Portland cement;-23.648340;-47.550557;1360;1586.666667;1473.333333
VOTORANTIM 35 - SP;Portland cement;-23.561382;-47.432024;1360;1586.666667;1473.333333
VOTORANTIM 36 - TO;Portland cement;-6.433164;-48.428544;1360;1586.666667;1473.333333
LAFARGE BRASIL S.A 01 - PB;Portland cement;-7.514879;-34.905828;1400;1633.333333;1516.666667
LAFARGE BRASIL S.A 02 - BA;Portland cement;-12.647861;-38.543936;1400;1633.333333;1516.666667
LAFARGE BRASIL S.A 03 - GO;Portland cement;-15.788728;-48.769633;1400;1633.333333;1516.666667
LAFARGE BRASIL S.A 04 - MG;Portland cement;-19.779745;-43.955587;1400;1633.333333;1516.666667
LAFARGE BRASIL S.A 05 - MG;Portland cement;-19.530527;-44.093638;1400;1633.333333;1516.666667
LAFARGE BRASIL S.A 06 - MG;Portland cement;-16.704932;-43.894976;1400;1633.333333;1516.666667
LAFARGE BRASIL S.A 07 - MG;Portland cement;-20.293813;-45.551920;1400;1633.333333;1516.666667
LAFARGE BRASIL S.A 08 - RJ;Portland cement;-21.979968;-42.362822;1400;1633.333333;1516.666667
LAFARGE BRASIL S.A 09 - SP;Portland cement;-23.995618;-48.866156;1400;1633.333333;1516.666667
CIA DE CIMENTOS ITAMBÉ - PR;Portland cement;-25.576212;-49.644689;2340;2730;2535
 CCB-CIMPOR CIMENTOS DO BRASIL LTDA 01 - BA;Portland cement;-14.186072;-41.666985;2836.349325;3309.074213;3072.711769
 CCB-CIMPOR CIMENTOS DO BRASIL LTDA 02 -SP;Portland cement;-24.702021;-48.116842;2836.349325;3309.074213;3072.711769
