Name;Sector;Lat;Long;NOx-low (Gg/year);NOx-high (Gg/year);NOx-mean (Gg/year)
DAX OIL REFINO S.A. (DAX OIL);Petroleum refining;-12.623253;-38.091759;0.069758758;0.186023354;0.127891056
LUBRIFICANTES E DERIVADOS DE PETRÓLEO DO NORDESTE (LUBNOR);Petroleum refining;-3.716949;-38.470701;0.462508432;1.233355818;0.847932125
REFINARIA DE PETRÓLEO DE MANGUINHOS S.A. (MANGUINHOS);Petroleum refining;-22.887058;-43.236950;0.666756603;1.778017608;1.222387105
REFINARIA DE CAPUAVA (RECAP);Petroleum refining;-23.639649;-46.484534;2.845917004;7.589112012;5.217514508
REFINARIA DUQUE DE CAXIAS (REDUC);Petroleum refining;-22.716360;-43.266222;14.41163448;38.43102527;26.42132987
REFINARIA ALBERTO PASQUALINI (REFAP);Petroleum refining;-29.872948;-51.167265;9.924275987;26.46473596;18.19450598
REFINARIA GABRIEL PASSOS (REGAP);Petroleum refining;-19.971965;-44.096005;8.835382184;23.56101916;16.19820067
REFINARIA ISAAC SABÁ (REMAN);Petroleum refining;-3.146537;-59.954154;2.826594576;7.537585536;5.182090056
REFINARIA PRESIDENTE GETÚLIO VARGAS (REPAR);Petroleum refining;-25.569079;-49.363216;12.88529853;34.36079607;23.6230473
REFINARIA DE PAULÍNIA (REPLAN);Petroleum refining;-22.729165;-47.135769;25.13522591;67.0272691;46.08124751
REFINARIA HENRIQUE LAGE (REVAP);Petroleum refining;-23.189659;-45.818118;16.00920682;42.69121819;29.3502125
REFINARIA DE PETRÓLEO RIOGRANDENSE S.A. (RIOGRANDENSE);Petroleum refining;-32.043478;-52.090103;1.001988547;2.671969457;1.836979002
REFINARIA LANDULPHO ALVES (RLAN);Petroleum refining;-12.709800;-38.573005;15.80380168;42.14347114;28.97363641
REFINARIA PRESIDENTE BERNARDES (RPBC);Petroleum refining;-23.871505;-46.435574;10.05593594;26.81582916;18.43588255
REFINARIA POTIGUAR CLARA CAMARÃO (RPCC);Petroleum refining;-5.132171;-36.384542;2.271575779;6.057535411;4.164555595
UNIVEN REFINARIA DE PETRÓLEO LTDA (UNIVEN);Petroleum refining;-23.139097;-47.024919;0.345922752;0.922460671;0.634191711
VOTORANTIM 1 - CE;Portland cement;-3.551047;-38.827241;1.586666667;2.795555556;2.191111111
VOTORANTIM 2 - CE;Portland cement;-3.686344;-40.374086;1.586666667;2.795555556;2.191111111
VOTORANTIM 3 - GO;Portland cement;-15.621271;-47.865104;1.586666667;2.795555556;2.191111111
VOTORANTIM 4 - GO;Portland cement;-17.424241;-49.665323;1.586666667;2.795555556;2.191111111
VOTORANTIM 5 - MT;Portland cement;-15.597011;-55.962873;1.586666667;2.795555556;2.191111111
