Name;Sector;Lat;Long;PM-low(Gg/year);PM-high(Gg/year);PM-mean(Gg/year)
DAX OIL REFINO S.A. (DAX OIL);Petroleum refining;-12.623253;-38.091759;0.03449183;0.980498095;0.507494963
LUBRIFICANTES E DERIVADOS DE PETRÓLEO DO NORDESTE (LUBNOR);Petroleum refining;-3.716949;-38.470701;0.228684725;6.500812959;3.364748842
REFINARIA DE PETRÓLEO DE MANGUINHOS S.A. (MANGUINHOS);Petroleum refining;-22.887058;-43.236950;0.329674098;9.371634474;4.850654286
REFINARIA DE CAPUAVA (RECAP);Petroleum refining;-23.639649;-46.484534;1.407147852;40.00094456;20.70404621
REFINARIA DUQUE DE CAXIAS (REDUC);Petroleum refining;-22.716360;-43.266222;7.125752602;202.563529;104.8446408
REFINARIA ALBERTO PASQUALINI (REFAP);Petroleum refining;-29.872948;-51.167265;4.907003127;139.4912125;72.1991078
REFINARIA GABRIEL PASSOS (REGAP);Petroleum refining;-19.971965;-44.096005;4.368605635;124.1862051;64.27740539
REFINARIA ISAAC SABÁ (REMAN);Petroleum refining;-3.146537;-59.954154;1.397593985;39.7293571;20.56347554
REFINARIA PRESIDENTE GETÚLIO VARGAS (REPAR);Petroleum refining;-25.569079;-49.363216;6.371064272;181.1100293;93.74054678
REFINARIA DE PAULÍNIA (REPLAN);Petroleum refining;-22.729165;-47.135769;12.42797281;353.2895642;182.8587685
REFINARIA HENRIQUE LAGE (REVAP);Petroleum refining;-23.189659;-45.818118;7.915663372;225.0182959;116.4669796
REFINARIA DE PETRÓLEO RIOGRANDENSE S.A. (RIOGRANDENSE);Petroleum refining;-32.043478;-52.090103;0.49542767;14.08350568;7.289466676
REFINARIA LANDULPHO ALVES (RLAN);Petroleum refining;-12.709800;-38.573005;7.81410194;222.1312124;114.9726572
REFINARIA PRESIDENTE BERNARDES (RPBC);Petroleum refining;-23.871505;-46.435574;4.972101658;141.3417662;73.15693394
REFINARIA POTIGUAR CLARA CAMARÃO (RPCC);Petroleum refining;-5.132171;-36.384542;1.123168024;31.92825956;16.52571379
UNIVEN REFINARIA DE PETRÓLEO LTDA (UNIVEN);Petroleum refining;-23.139097;-47.024919;0.171039583;4.862136454;2.516588019
VOTORANTIM 1 - CE;Portland cement;-3.551047;-38.827241;0.128444444;147.4164444;73.77244444
VOTORANTIM 2 - CE;Portland cement;-3.686344;-40.374086;0.128444444;147.4164444;73.77244444
VOTORANTIM 3 - GO;Portland cement;-15.621271;-47.865104;0.128444444;147.4164444;73.77244444
VOTORANTIM 4 - GO;Portland cement;-17.424241;-49.665323;0.128444444;147.4164444;73.77244444
VOTORANTIM 5 - MT;Portland cement;-15.597011;-55.962873;0.128444444;147.4164444;73.77244444
VOTORANTIM 6 - MT;Portland cement;-14.738307;-56.325399;0.128444444;147.4164444;73.77244444
VOTORANTIM 7 - MS;Portland cement;-19.021274;-57.625928;0.128444444;147.4164444;73.77244444
