Name;Sector;Lat;Long;SOx-low(Gg/year);SOx-high(Gg/year);SOx-mean(Gg/year)
DAX OIL REFINO S.A. (DAX OIL);Petroleum refining;-12.623253;-38.091759;0.065883271;0.678210145;0.372046708
LUBRIFICANTES E DERIVADOS DE PETRÓLEO DO NORDESTE (LUBNOR);Petroleum refining;-3.716949;-38.470701;0.436813519;4.496609754;2.466711636
REFINARIA DE PETRÓLEO DE MANGUINHOS S.A. (MANGUINHOS);Petroleum refining;-22.887058;-43.236950;0.629714569;6.482355861;3.556035215
REFINARIA DE CAPUAVA (RECAP);Petroleum refining;-23.639649;-46.484534;2.687810504;27.66863754;15.17822402
REFINARIA DUQUE DE CAXIAS (REDUC);Petroleum refining;-22.716360;-43.266222;13.61098812;140.113113;76.86205054
REFINARIA ALBERTO PASQUALINI (REFAP);Petroleum refining;-29.872948;-51.167265;9.372927321;96.48601654;52.92947193
REFINARIA GABRIEL PASSOS (REGAP);Petroleum refining;-19.971965;-44.096005;8.344527618;85.89954901;47.12203831
REFINARIA ISAAC SABÁ (REMAN);Petroleum refining;-3.146537;-59.954154;2.669561544;27.4807806;15.07517107
REFINARIA PRESIDENTE GETÚLIO VARGAS (REPAR);Petroleum refining;-25.569079;-49.363216;12.16944861;125.2737357;68.72159214
REFINARIA DE PAULÍNIA (REPLAN);Petroleum refining;-22.729165;-47.135769;23.73882447;244.3702519;134.0545382
REFINARIA HENRIQUE LAGE (REVAP);Petroleum refining;-23.189659;-45.818118;15.11980644;155.6450663;85.38243637
REFINARIA DE PETRÓLEO RIOGRANDENSE S.A. (RIOGRANDENSE);Petroleum refining;-32.043478;-52.090103;0.946322516;9.741555313;5.343938915
REFINARIA LANDULPHO ALVES (RLAN);Petroleum refining;-12.709800;-38.573005;14.92581269;153.6480719;84.28694227
REFINARIA PRESIDENTE BERNARDES (RPBC);Petroleum refining;-23.871505;-46.435574;9.497272829;97.76604383;53.63165833
REFINARIA POTIGUAR CLARA CAMARÃO (RPCC);Petroleum refining;-5.132171;-36.384542;2.145377125;22.08476452;12.11507082
UNIVEN REFINARIA DE PETRÓLEO LTDA (UNIVEN);Petroleum refining;-23.139097;-47.024919;0.326704821;3.363137864;1.844921342
VOTORANTIM 1 - CE;Portland cement;-3.551047;-38.827241;0.204;3.702222222;1.953111111
