Name;Sector;Lat;Long;TOC-low(Gg/year);TOC-high(Gg/year);TOC-mean(Gg/year)
DAX OIL REFINO S.A. (DAX OIL);Petroleum refining;-12.623253;-38.091759;0.096887164;1.127766584;0.612326874
LUBRIFICANTES E DERIVADOS DE PETRÓLEO DO NORDESTE (LUBNOR);Petroleum refining;-3.716949;-38.470701;0.642372822;7.477219648;4.059796235
REFINARIA DE PETRÓLEO DE MANGUINHOS S.A. (MANGUINHOS);Petroleum refining;-22.887058;-43.236950;0.926050837;10.77923175;5.852641292
REFINARIA DE CAPUAVA (RECAP);Petroleum refining;-23.639649;-46.484534;3.952662506;46.00899157;24.98082704
REFINARIA DUQUE DE CAXIAS (REDUC);Petroleum refining;-22.716360;-43.266222;20.01615899;232.9880907;126.5021248
REFINARIA ALBERTO PASQUALINI (REFAP);Petroleum refining;-29.872948;-51.167265;13.78371665;160.4424618;87.11308922
REFINARIA GABRIEL PASSOS (REGAP);Petroleum refining;-19.971965;-44.096005;12.27136414;142.8386786;77.55502139
REFINARIA ISAAC SABÁ (REMAN);Petroleum refining;-3.146537;-59.954154;3.9258258;45.69661231;24.81121906
REFINARIA PRESIDENTE GETÚLIO VARGAS (REPAR);Petroleum refining;-25.569079;-49.363216;17.89624795;208.3123262;113.1042871
REFINARIA DE PAULÍNIA (REPLAN);Petroleum refining;-22.729165;-47.135769;34.91003599;406.3528189;220.6314275
REFINARIA HENRIQUE LAGE (REVAP);Petroleum refining;-23.189659;-45.818118;22.23500947;258.8155103;140.5252599
REFINARIA DE PETRÓLEO RIOGRANDENSE S.A. (RIOGRANDENSE);Petroleum refining;-32.043478;-52.090103;1.391650759;16.19881484;8.795232797
REFINARIA LANDULPHO ALVES (RLAN);Petroleum refining;-12.709800;-38.573005;21.94972455;255.4947938;138.7222592
REFINARIA PRESIDENTE BERNARDES (RPBC);Petroleum refining;-23.871505;-46.435574;13.96657769;162.5709643;88.268771
