Name;Sector;Lat;Long;NOx-low (Gg/year);NOx-high (Gg/year);NOx-mean (Gg/year);SOx-low(Gg/year);SOx-high(Gg/year);SOx-mean(Gg/year);CO-low(Gg/year);CO-high(Gg/year);CO-mean(Gg/year);PM-low(Gg/year);PM-high(Gg/year);PM-mean(Gg/year);TOC-low(Gg/year);TOC-high(Gg/year);TOC-mean(Gg/year);CO2-low(Gg/year);CO2-high(Gg/year);CO2-mean(Gg/year)
ALTA MOGIANA;Bagasse TPP;-20.567944;-47.868641;0.12096;0.15552;0.13824;NA;NA;NA;NA;NA;NA;0.13824;2.02176;1.08;0.00009936;0.0001296;0.00011448;155.088;202.176;178.632
BARRALCOOL;Bagasse TPP;-15.033815;-57.214277;0.048384;0.062208;0.055296;NA;NA;NA;NA;NA;NA;0.055296;0.808704;0.432;0.000039744;0.00005184;0.000045792;62.0352;80.8704;71.4528
BATATAIS;Bagasse TPP;-20.745982;-47.569336;0.00628992;0.00808704;0.00718848;NA;NA;NA;NA;NA;NA;0.00718848;0.10513152;0.05616;5.16672E-06;6.7392E-06;5.95296E-06;8.064576;10.513152;9.288864
CAETÉ;Bagasse TPP;-9.776442;-36.086844;0.05773824;0.07423488;0.06598656;NA;NA;NA;NA;NA;NA;0.06598656;0.96505344;0.51552;4.74278E-05;6.18624E-05;5.46451E-05;74.028672;96.505344;85.267008
COLOMBO ARIRANHA;Bagasse TPP;-21.213352;-48.842033;0.1701504;0.2187648;0.1944576;NA;NA;NA;NA;NA;NA;0.1944576;2.8439424;1.5192;0.000139766;0.000182304;0.000161035;218.15712;284.39424;251.27568
CORONA;Bagasse TPP;-21.364469;-48.238975;0.0290304;0.0373248;0.0331776;NA;NA;NA;NA;NA;NA;0.0331776;0.4852224;0.2592;2.38464E-05;0.000031104;2.74752E-05;37.22112;48.52224;42.87168
ESTER;Bagasse TPP;-22.657480;-47.211152;0.07483392;0.09621504;0.08552448;NA;NA;NA;NA;NA;NA;0.08552448;1.25079552;0.66816;6.14707E-05;8.01792E-05;7.0825E-05;95.947776;125.079552;110.513664
CENTRAL ENERGÉTICA RIBEIRÃO PRETO (ANTIGA GALO BRAVO);Bagasse TPP;-21.141021;-47.878869;0.0145152;0.0186624;0.0165888;NA;NA;NA;NA;NA;NA;0.0165888;0.2426112;0.1296;1.19232E-05;0.000015552;1.37376E-05;18.61056;24.26112;21.43584
GALVANI;Bagasse TPP;-22.758781;-47.155066;0.0185472;0.0238464;0.0211968;NA;NA;NA;NA;NA;NA;0.0211968;0.3100032;0.1656;1.52352E-05;0.000019872;1.75536E-05;23.78016;31.00032;27.39024
IRACEMA;Bagasse TPP;-22.586025;-47.529168;0.0225792;0.0290304;0.0258048;NA;NA;NA;NA;NA;NA;0.0258048;0.3773952;0.2016;1.85472E-05;0.000024192;2.13696E-05;28.94976;37.73952;33.34464
VIRGOLINO DE OLIVEIRA - ITAPIRA;Bagasse TPP;-22.411839;-46.808829;0.00935424;0.01202688;0.01069056;NA;NA;NA;NA;NA;NA;0.01069056;0.15634944;0.08352;7.68384E-06;1.00224E-05;8.85312E-06;11.993472;15.634944;13.814208
JARDEST;Bagasse TPP;-21.032484;-47.775844;0.0129024;0.0165888;0.0147456;NA;NA;NA;NA;NA;NA;0.0147456;0.2156544;0.1152;1.05984E-05;0.000013824;1.22112E-05;16.54272;21.56544;19.05408
JUNQUEIRA;Bagasse TPP;-20.048841;-47.748235;0.01161216;0.01492992;0.01327104;NA;NA;NA;NA;NA;NA;0.01327104;0.19408896;0.10368;9.53856E-06;1.24416E-05;1.09901E-05;14.888448;19.408896;17.148672
MARACAÍ;Bagasse TPP;-22.575942;-50.656559;0.075511296;0.097085952;0.086298624;NA;NA;NA;NA;NA;NA;0.086298624;1.262117376;0.674208;6.20271E-05;8.0905E-05;7.1466E-05;96.8162688;126.2117376;111.5140032
MB;Bagasse TPP;-20.729511;-48.055077;0.02644992;0.03400704;0.03022848;NA;NA;NA;NA;NA;NA;0.03022848;0.44209152;0.23616;2.17267E-05;2.83392E-05;2.5033E-05;33.912576;44.209152;39.060864
NARDINI;Bagasse TPP;-21.184680;-48.654292;0.0870912;0.1119744;0.0995328;NA;NA;NA;NA;NA;NA;0.0995328;1.4556672;0.7776;7.15392E-05;0.000093312;8.24256E-05;111.66336;145.56672;128.61504
SANTA CRUZ AB (ANTIGA OMETTO);Bagasse TPP;-21.754836;-48.078402;0.13934592;0.17915904;0.15925248;NA;NA;NA;NA;NA;NA;0.15925248;2.32906752;1.24416;0.000114463;0.000149299;0.000131881;178.661376;232.906752;205.784064
USINA DA PEDRA;Bagasse TPP;-21.241122;-47.566889;0.056448;0.072576;0.064512;NA;NA;NA;NA;NA;NA;0.064512;0.943488;0.504;0.000046368;0.00006048;0.000053424;72.3744;94.3488;83.3616
RAFARD;Bagasse TPP;-23.009110;-47.532166;0.08064;0.10368;0.09216;NA;NA;NA;NA;NA;NA;0.09216;1.34784;0.72;0.00006624;0.0000864;0.00007632;103.392;134.784;119.088
UNIVALEM;Bagasse TPP;-23.009110;-47.532166;0.0129024;0.0165888;0.0147456;NA;NA;NA;NA;NA;NA;0.0147456;0.2156544;0.1152;1.05984E-05;0.000013824;1.22112E-05;16.54272;21.56544;19.05408
PUMATY;Bagasse TPP;-8.627504;-35.528606;0.012966912;0.016671744;0.014819328;NA;NA;NA;NA;NA;NA;0.014819328;0.216732672;0.115776;1.06514E-05;1.38931E-05;1.22723E-05;16.6254336;21.6732672;19.1493504
VALE DO ROSÁRIO;Bagasse TPP;-20.740942;-48.055163;0.1564416;0.2011392;0.1787904;NA;NA;NA;NA;NA;NA;0.1787904;2.6148096;1.3968;0.000128506;0.000167616;0.000148061;200.58048;261.48096;231.03072
