Name;Sector;Lat;Long;NOx-low (Gg/year);NOx-high (Gg/year);NOx-mean (Gg/year);SOx-low(Gg/year);SOx-high(Gg/year);SOx-mean(Gg/year);CO-low(Gg/year);CO-high(Gg/year);CO-mean(Gg/year);PM-low(Gg/year);PM-high(Gg/year);PM-mean(Gg/year);TOC-low(Gg/year);TOC-high(Gg/year);TOC-mean(Gg/year);CO2-low(Gg/year);CO2-high(Gg/year);CO2-mean(Gg/year)
CHARQUEADAS;Coal TPP;-29.943834;-51.573889;0.4351968;1.9047744;1.1699856;0.9082368;19.4703264;10.1892816;0.02585952;0.3973536;0.21160656;4.1375232;49.2718464;26.7046848;0.00567648;1.1479104;0.57679344;78.84;172.81728;125.82864
FIGUEIRA;Coal TPP;-23.852639;-50.390386;0.120888;0.529104;0.324996;0.252288;5.408424;2.830356;0.0071832;0.110376;0.0587796;1.149312;13.686624;7.417968;0.0015768;0.318864;0.1602204;21.9;48.0048;34.9524
JORGE LACERDA I E II;Coal TPP;-28.451793;-48.968880;1.4023008;6.1376064;3.7699536;2.9265408;62.7377184;32.8321296;0.08332512;1.2803616;0.68184336;13.3320192;158.7648384;86.0484288;0.01829088;3.6988224;1.85855664;254.04;556.85568;405.44784
PRESIDENTE MÉDICI A, B;Coal TPP;-31.551735;-53.681574;2.6958024;11.7990192;7.2474108;5.6260224;120.6078552;63.1169388;0.16018536;2.4613848;1.31078508;25.6296576;305.2117152;165.4206864;0.03516264;7.1106672;3.57291492;488.37;1070.50704;779.43852
SÃO JERÔNIMO;Coal TPP;-29.965889;-51.721737;0.120888;0.529104;0.324996;0.252288;5.408424;2.830356;0.0071832;0.110376;0.0587796;1.149312;13.686624;7.417968;0.0015768;0.318864;0.1602204;21.9;48.0048;34.9524
JORGE LACERDA III;Coal TPP;-28.460391;-48.964919;1.5836328;6.9312624;4.2574476;3.3049728;70.8503544;37.0776636;0.09409992;1.4459256;0.77001276;15.0559872;179.2947744;97.1753808;0.02065608;4.1771184;2.09888724;286.89;628.86288;457.87644
JORGE LACERDA IV;Coal TPP;-28.454486;-48.969146;2.1941172;9.6032376;5.8986774;4.5790272;98.1628956;51.3709614;0.13037508;2.0033244;1.06684974;20.8600128;248.4122256;134.6361192;0.02861892;5.7873816;2.90800026;397.485;871.28712;634.38606
ALUNORTE;Coal TPP;-1.545510;-48.736133;0.627735118;2.747478341;1.687606729;1.310055898;28.0843233;14.6971896;0.037300203;0.573149455;0.305224829;5.968032422;71.07053244;38.51928243;0.008187849;1.655765093;0.831976471;113.72013;249.274525;181.4973275
ALUMAR;Coal TPP;-2.710080;-44.347869;0.45453888;1.98943104;1.22198496;0.94860288;20.33567424;10.64213856;0.027008832;0.41501376;0.221011296;4.32141312;51.46170624;27.89155968;0.005928768;1.19892864;0.602428704;82.344;180.498048;131.421024
PORTO DO ITAQUI (ANTIGA TERMOMARANHÃO);Coal TPP;-2.587064;-44.338972;2.176812083;9.527496362;5.852154223;4.542912173;97.3886797;50.96579594;0.129346805;1.987524076;1.05843544;20.69548879;246.4529854;133.5742371;0.028393201;5.741736218;2.88506471;394.350015;864.4152329;629.3826239
PORTO DO PECÉM I (ANTIGA MPX);Coal TPP;-3.585359;-38.857085;4.353624166;19.05499272;11.70430845;9.085824346;194.7773594;101.9315919;0.25869361;3.975048151;2.116870881;41.39097757;492.9059707;267.1484742;0.056786402;11.48347244;5.770129419;788.70003;1728.830466;1258.765248
CANDIOTA III;Coal TPP;-31.585236;-53.670803;2.11554;9.25932;5.68743;4.41504;94.64742;49.53123;0.125706;1.93158;1.028643;20.11296;239.51592;129.81444;0.027594;5.58012;2.803857;383.25;840.084;611.667
PORTO DO PECÉM II;Coal TPP;-3.583405;-38.874487;2.206206;9.656148;5.931177;4.604256;98.703738;51.653997;0.1310934;2.014362;1.0727277;20.974944;249.780888;135.377916;0.0287766;5.819268;2.9240223;399.675;876.0876;637.8813
