Name;Sector;Lat;Long;NOx-low (Gg/year);NOx-high (Gg/year);NOx-mean (Gg/year);SOx-low(Gg/year);SOx-high(Gg/year);SOx-mean(Gg/year);CO-low(Gg/year);CO-high(Gg/year);CO-mean(Gg/year);PM-low(Gg/year);PM-high(Gg/year);PM-mean(Gg/year);TOC-low(Gg/year);TOC-high(Gg/year);TOC-mean(Gg/year);CO2-low(Gg/year);CO2-high(Gg/year);CO2-mean(Gg/year)
SANTANA;Diesel TPP;-0.008493;-51.173438;4.6024602;22.7782776;13.6903689;2.44944492;7.67596752;5.06270622;2.05940592;5.2265226;3.64296426;0.24962496;0.67086708;0.46024602;6.44344E-10;0.67086708;0.33543354;399.009897;1100.830472;749.9201845
PALMEIRAS DE GOIÁS;Diesel TPP;-16.807840;-49.937062;4.53682152;22.45342176;13.49512164;2.414511792;7.566495552;4.990503672;2.030035392;5.15198376;3.591009576;0.246064896;0.661299408;0.453682152;6.35155E-10;0.661299408;0.330649704;393.3193572;1085.130812;739.2250848
TERMOMANAUS;Diesel TPP;-7.846155;-34.902560;3.6863613;18.2443644;10.96536285;1.96189398;6.14810088;4.05499743;1.64949048;4.1862069;2.91784869;0.19993824;0.53733402;0.36863613;5.16091E-10;0.53733402;0.26866701;319.5887805;881.7151423;600.6519614
GOIÂNIA II;Diesel TPP;-16.830395;-49.282308;3.61788;17.90544;10.76166;1.925448;6.033888;3.979668;1.618848;4.10844;2.863644;0.196224;0.527352;0.361788;5.06503E-10;0.527352;0.263676;313.6518;865.335576;589.493688
PETROLINA;Diesel TPP;-9.391843;-40.487816;3.5196804;17.4194352;10.4695578;1.87318584;5.87011104;3.87164844;1.57490784;3.9969252;2.78591652;0.19089792;0.51303816;0.35196804;4.92755E-10;0.51303816;0.25651908;305.138394;841.8478961;573.493145
ELECTRON (TG);Diesel TPP;-3.938009;-60.815127;3.10104;15.34752;9.22428;1.650384;5.171904;3.411144;1.387584;3.52152;2.454552;0.168192;0.452016;0.310104;4.34146E-10;0.452016;0.226008;268.8444;741.716208;505.280304
FLORES;Diesel TPP;-3.108356;-60.062581;2.5725711;12.7320468;7.65230895;1.36913106;4.29052536;2.82982821;1.15111656;2.9213943;2.03625543;0.13952928;0.37498494;0.25725711;3.6016E-10;0.37498494;0.18749247;223.0288335;615.3154042;419.1721189
PAU FERRO I;Diesel TPP;-7.837312;-34.903933;2.43121536;12.03245568;7.23183552;1.293901056;4.054772736;2.674336896;1.087865856;2.76087168;1.924368768;0.131862528;0.354380544;0.243121536;3.4037E-10;0.354380544;0.177190272;210.7740096;581.5055071;396.1397583
SENADOR ARNON AFONSO FARIAS DE MELLO (FLORESTA);Diesel TPP;2.858820;-60.682830;2.220525534;10.98971959;6.605122563;1.181771216;3.703384958;2.442578087;0.993591086;2.521613742;1.757602414;0.120435283;0.323669824;0.222052553;3.10874E-10;0.323669824;0.161834912;192.508273;531.1120717;361.8101723
POTIGUAR III;Diesel TPP;-5.853701;-35.347469;1.7159088;8.4922944;5.1041016;0.91321248;2.86178688;1.88749968;0.76779648;1.9485744;1.35818544;0.09306624;0.25011552;0.17159088;2.40227E-10;0.25011552;0.12505776;148.760568;410.4163018;279.5884349
XAVANTES ARUANÃ;Diesel TPP;-16.700689;-49.253174;1.384510992;6.852156096;4.118333544;0.736841443;2.309082739;1.522962091;0.619510003;1.572241296;1.09587565;0.075092122;0.201810077;0.138451099;1.93832E-10;0.201810077;0.100905038;120.0300631;331.151563;225.5908131
POTIGUAR;Diesel TPP;-5.857031;-35.362361;1.37272704;6.79383552;4.08328128;0.730569984;2.289429504;1.509999744;0.614237184;1.55885952;1.086548352;0.074452992;0.200092416;0.137272704;1.92182E-10;0.200092416;0.100046208;119.0084544;328.3330414;223.6707479
MAUÁ PARTE III BLOCO IRANDUBA;Diesel TPP;-3.123320;-60.249414;1.2921;6.3948;3.84345;0.68766;2.15496;1.42131;0.57816;1.4673;1.02273;0.07008;0.18834;0.12921;1.80894E-10;0.18834;0.09417;112.0185;309.04842;210.53346
RIO ACRE;Diesel TPP;-9.942879;-67.843285;1.175736058;5.818897102;3.49731658;0.625730716;1.960888612;1.293309664;0.526092067;1.335157897;0.930624982;0.063768735;0.171378476;0.117573606;1.64603E-10;0.171378476;0.085689238;101.9303379;281.2161374;191.5732377
DAIA;Diesel TPP;-16.353937;-48.945165;1.14841848;5.68369824;3.41605836;0.611192208;1.915328448;1.263260328;0.513868608;1.30413624;0.909002424;0.062287104;0.167396592;0.114841848;1.60779E-10;0.167396592;0.083698296;99.5620428;274.6822357;187.1221392
BELO JARDIM;Diesel TPP;-9.934425;-67.811871;1.132887438;5.606832744;3.369860091;0.602926535;1.889425829;1.246176182;0.506919125;1.286499294;0.896709209;0.061444742;0.165132745;0.113288744;1.58604E-10;0.165132745;0.082566373;98.21558043;270.9674737;184.5915271
RIO MADEIRA;Diesel TPP;-8.794378;-63.881171;1.122783216;5.556825408;3.339804312;0.597549034;1.872574042;1.235061538;0.502397914;1.275025008;0.888711461;0.060896717;0.163659926;0.112278322;1.5719E-10;0.163659926;0.081829963;97.33959576;268.550715;182.9451554
MAUÁ PARTE II BLOCO DISTRITO;Diesel TPP;-3.055976;-60.075594;1.03368;5.11584;3.07476;0.550128;1.723968;1.137048;0.462528;1.17384;0.818184;0.056064;0.150672;0.103368;1.44715E-10;0.150672;0.075336;89.6148;247.238736;168.426768
SÃO JOSÉ;Diesel TPP;-3.118640;-60.044729;0.8993016;4.4507808;2.6750412;0.47861136;1.49985216;0.98923176;0.40239936;1.0212408;0.71182008;0.04877568;0.13108464;0.08993016;1.25902E-10;0.13108464;0.06554232;77.964876;215.0977003;146.5312882
BAHIA I - CAMAÇARI;Diesel TPP;-12.724634;-38.298763;0.8217756;4.0670928;2.4444342;0.43735176;1.37055456;0.90395316;0.36770976;0.9332028;0.65045628;0.04457088;0.11978424;0.08217756;1.15049E-10;0.11978424;0.05989212;71.243766;196.5547951;133.8992806
RIO BRANCO II;Diesel TPP;-9.956067;-67.833157;0.8217756;4.0670928;2.4444342;0.43735176;1.37055456;0.90395316;0.36770976;0.9332028;0.65045628;0.04457088;0.11978424;0.08217756;1.15049E-10;0.11978424;0.05989212;71.243766;196.5547951;133.8992806
CRUZEIRO DO SUL;Diesel TPP;-7.626941;-72.663352;0.625645157;3.096413318;1.861029238;0.332970473;1.043448872;0.688209672;0.279949697;0.710478398;0.495214048;0.033933297;0.091195735;0.062564516;8.75903E-11;0.091195735;0.045597867;54.24025385;149.6437174;101.9419856
VILHENA;Diesel TPP;-12.728126;-60.123216;0.6137475;3.03753;1.82563875;0.3266385;1.023606;0.67512225;0.274626;0.6969675;0.48579675;0.033288;0.0894615;0.06137475;8.59247E-11;0.0894615;0.04473075;53.2087875;146.7979995;100.0033935
MANACAPURU;Diesel TPP;-3.290058;-60.618917;0.612248664;3.030112032;1.821180348;0.325840814;1.021106246;0.67347353;0.273955334;0.695265432;0.484610383;0.033206707;0.089243026;0.061224866;8.57148E-11;0.089243026;0.044621513;53.07884604;146.4395033;99.75917469
PARINTINS;Diesel TPP;-2.635442;-56.750101;0.594366;2.941608;1.767987;0.3163236;0.9912816;0.6538026;0.2659536;0.674958;0.4704558;0.0322368;0.0866364;0.0594366;8.32112E-11;0.0866364;0.0433182;51.52851;142.1622732;96.8453916
COARI;Diesel TPP;-4.103067;-63.132625;0.57524292;2.84696496;1.71110394;0.306146232;0.959388192;0.632767212;0.257396832;0.65324196;0.455319396;0.031199616;0.083848968;0.057524292;8.0534E-11;0.083848968;0.041924484;49.8706362;137.5883566;93.72949639
SERRA DO NAVIO;Diesel TPP;0.922967;-51.999279;0.5581872;2.7625536;1.6603704;0.29706912;0.93094272;0.61400592;0.24976512;0.6338736;0.44181936;0.03027456;0.08136288;0.05581872;7.81462E-11;0.08136288;0.04068144;48.391992;133.5089174;90.95045472
TABATINGA;Diesel TPP;-9.228587;-61.888935;0.545214516;2.698349808;1.621782162;0.290165014;0.909306922;0.599735968;0.243960394;0.619141908;0.431551151;0.029570957;0.079471946;0.054521452;7.633E-11;0.079471946;0.039735973;47.26732626;130.4060713;88.83669878
