Name;Sector;Lat;Long;NOx-low (Gg/year);NOx-high (Gg/year);NOx-mean (Gg/year);SOx-low(Gg/year);SOx-high(Gg/year);SOx-mean(Gg/year);CO-low(Gg/year);CO-high(Gg/year);CO-mean(Gg/year);PM-low(Gg/year);PM-high(Gg/year);PM-mean(Gg/year);TOC-low(Gg/year);TOC-high(Gg/year);TOC-mean(Gg/year);CO2-low(Gg/year);CO2-high(Gg/year);CO2-mean(Gg/year)
CAMPINA GRANDE;Fuel oil TPP;-7.200901;-35.874785;0.152557502;0.844250256;0.498403879;2.058785712;2.488316544;2.273551128;0.077019322;7.70193216;3.889475741;0.026660534;0.211803134;0.119231834;0.003850966;0.038065319;0.020958142;378.8017596;705.593;542.1973798
CELPAV II;Fuel oil TPP;-21.547572;-47.701072;0.029414328;0.16277832;0.096096324;0.39695064;0.47976768;0.43835916;0.014849952;1.4849952;0.749922576;0.005140368;0.040837368;0.022988868;0.000742498;0.007339303;0.0040409;73.036062;706.593;389.814531
COGERAÇÃO INTERNATIONAL PAPER - FASES I E II;Fuel oil TPP;-22.322119;-46.937936;0.04556514;0.2521566;0.14886087;0.6149082;0.7431984;0.6790533;0.02300376;2.300376;1.16168988;0.00796284;0.06326034;0.03561159;0.001150188;0.011369166;0.006259677;113.138685;707.593;410.3658425
IGARAPÉ;Fuel oil TPP;-19.941624;-44.318832;0.11819868;0.6541092;0.38615394;1.5951084;1.9279008;1.7615046;0.05967312;5.967312;3.01349256;0.02065608;0.16410108;0.09237858;0.002983656;0.029492292;0.016237974;293.48847;708.593;501.040735
NUTEPA;Fuel oil TPP;-30.077355;-51.081358;0.02165472;0.1198368;0.07074576;0.2922336;0.3532032;0.3227184;0.01093248;1.093248;0.55209024;0.00378432;0.03006432;0.01692432;0.000546624;0.005403168;0.002974896;53.76888;709.593;381.68094
PIRATININGA;Fuel oil TPP;-23.777330;-46.724389;0.1714332;0.948708;0.5600706;2.313516;2.796192;2.554854;0.0865488;8.65488;4.3707144;0.0299592;0.2380092;0.1339842;0.00432744;0.04277508;0.02355126;425.6703;710.593;568.13165
MRN UG I (ANTIGA PORTO TROMBETAS);Fuel oil TPP;-1.749457;-55.853681;0.013804884;0.07639596;0.045100422;0.18629892;0.22516704;0.20573298;0.006969456;0.6969456;0.351957528;0.002412504;0.019166004;0.010789254;0.000348473;0.00344452;0.001896496;34.277661;711.593;372.9353305
REFAP;Fuel oil TPP;-29.936400;-51.148626;0.067418362;0.373091904;0.220255133;0.909820608;1.099639296;1.004729952;0.034036454;3.40364544;1.718840947;0.01178185;0.09360025;0.05269105;0.001701823;0.016821863;0.009261843;167.4004464;712.593;439.9967232
MAUÁ;Fuel oil TPP;-2.991764;-60.017982;0.498567446;2.759062565;1.628815005;6.72824029;8.131973875;7.430107082;0.251703953;25.17039533;12.71104964;0.087128292;0.692185872;0.389657082;0.012585198;0.124399838;0.068492518;1237.947809;713.593;975.7704043
CADAM;Fuel oil TPP;0.254113;-51.063160;0.022549782;0.124790054;0.073669918;0.304312589;0.367802266;0.336057427;0.011384356;1.138435584;0.57490997;0.003940739;0.031306979;0.017623859;0.000569218;0.005626499;0.003097858;55.99132704;714.593;385.2921635
APARECIDA PARTE I;Fuel oil TPP;-3.035503;-60.000610;0.217214887;1.202062968;0.709638928;2.931346536;3.542922432;3.237134484;0.109661885;10.96618848;5.537925182;0.037959883;0.301570183;0.169765033;0.005483094;0.054198278;0.029840686;539.3466738;715.593;627.4698369
CAPUAVA;Fuel oil TPP;-23.719169;-46.521041;0.016259086;0.089977464;0.053118275;0.219418728;0.265196736;0.242307732;0.00820847;0.82084704;0.414527755;0.002841394;0.022573294;0.012707344;0.000410424;0.004056879;0.002233651;40.3714674;716.593;378.4822337
