Name;Sector;Lat;Long;NOx-low (Gg/year);NOx-high (Gg/year);NOx-mean (Gg/year);SOx-low(Gg/year);SOx-high(Gg/year);SOx-mean(Gg/year);CO-low(Gg/year);CO-high(Gg/year);CO-mean(Gg/year);PM-low(Gg/year);PM-high(Gg/year);PM-mean(Gg/year);TOC-low(Gg/year);TOC-high(Gg/year);TOC-mean(Gg/year);CO2-low(Gg/year);CO2-high(Gg/year);CO2-mean(Gg/year)
ANAMÃ;Natural gas TPP;-3.615548;-61.447581;0.000557583;0.004893073;0.002725328;1.02413E-05;1.02413E-05;1.02413E-05;0.000409653;0.001706886;0.001058269;0.000136551;0.000136551;0.000136551;0.000193447;0.000193447;0.000193447;2.075573376;2.075573376;2.075573376
ANORI;Natural gas TPP;-3.740979;-61.658565;0.001176976;0.010328566;0.005752771;2.16179E-05;2.16179E-05;2.16179E-05;0.000864717;0.003602988;0.002233853;0.000288239;0.000288239;0.000288239;0.000408339;0.000408339;0.000408339;4.381233408;4.381233408;4.381233408
ASFOR;Natural gas TPP;-3.755883;-38.521551;0.001437954;0.01261878;0.007028367;2.64114E-05;2.64114E-05;2.64114E-05;0.001056456;0.0044019;0.002729178;0.000352152;0.000352152;0.000352152;0.000498882;0.000498882;0.000498882;5.3527104;5.3527104;5.3527104
CAAPIRANGA;Natural gas TPP;-3.755883;-38.521551;0.000557583;0.004893073;0.002725328;1.02413E-05;1.02413E-05;1.02413E-05;0.000409653;0.001706886;0.001058269;0.000136551;0.000136551;0.000136551;0.000193447;0.000193447;0.000193447;2.075573376;2.075573376;2.075573376
CAMAÇARI;Natural gas TPP;-12.706047;-38.303425;0.05610596;0.492358428;0.274232194;0.001030518;0.001030518;0.001030518;0.041220706;0.17175294;0.106486823;0.013740235;0.013740235;0.013740235;0.019465333;0.019465333;0.019465333;208.851575;208.851575;208.851575
CODAJÁS;Natural gas TPP;-3.839333;-62.058371;0.001569301;0.013771421;0.007670361;2.88239E-05;2.88239E-05;2.88239E-05;0.001152956;0.004803984;0.00297847;0.000384319;0.000384319;0.000384319;0.000544452;0.000544452;0.000544452;5.841644544;5.841644544;5.841644544
ENERGY WORKS KAISER PACATUBA;Natural gas TPP;-3.930491;-38.607034;0.00238314;0.020913274;0.011648207;4.3772E-05;4.3772E-05;4.3772E-05;0.001750879;0.007295328;0.004523103;0.000583626;0.000583626;0.000583626;0.000826804;0.000826804;0.000826804;8.871118848;8.871118848;8.871118848
GLOBO;Natural gas TPP;-22.789215;-43.301665;0.002214878;0.019436688;0.010825783;4.06814E-05;4.06814E-05;4.06814E-05;0.001627258;0.00678024;0.004203749;0.000542419;0.000542419;0.000542419;0.000768427;0.000768427;0.000768427;8.24477184;8.24477184;8.24477184
AURELIANO CHAVES (ANTIGA IBIRITÉ);Natural gas TPP;-20.028628;-44.055764;0.09700824;0.8512968;0.47415252;0.001781784;0.001781784;0.001781784;0.07127136;0.296964;0.18411768;0.02375712;0.02375712;0.02375712;0.03365592;0.03365592;0.03365592;361.108224;361.108224;361.108224
ILHA PLAZA SHOPPING;Natural gas TPP;-22.989471;-43.432752;0.000558012;0.00489684;0.002727426;1.02492E-05;1.02492E-05;1.02492E-05;0.000409968;0.0017082;0.001059084;0.000136656;0.000136656;0.000136656;0.000193596;0.000193596;0.000193596;2.0771712;2.0771712;2.0771712
JUIZ DE FORA;Natural gas TPP;-21.750927;-43.360178;0.037364484;0.327892406;0.182628445;0.000686286;0.000686286;0.000686286;0.027451457;0.114381072;0.070916265;0.009150486;0.009150486;0.009150486;0.012963188;0.012963188;0.012963188;139.0873836;139.0873836;139.0873836
NORTE FLUMINENSE;Natural gas TPP;-22.378914;-41.798399;0.372977367;3.27306669;1.823022029;0.006850605;0.006850605;0.006850605;0.274024188;1.14176745;0.707895819;0.091341396;0.091341396;0.091341396;0.129400311;0.129400311;0.129400311;1388.389219;1388.389219;1388.389219
CTS-CENTRAL TERMELÉTRICA SUL (ANTIGA RHODIA SANTO ANDRÉ);Natural gas TPP;-23.647339;-46.512655;0.00472164;0.0414348;0.02307822;0.000086724;0.000086724;0.000086724;0.00346896;0.014454;0.00896148;0.00115632;0.00115632;0.00115632;0.00163812;0.00163812;0.00163812;17.576064;17.576064;17.576064
SOLVAY;Natural gas TPP;-23.624116;-46.516077;0.005408424;0.04746168;0.026435052;9.93384E-05;9.93384E-05;9.93384E-05;0.003973536;0.0165564;0.010264968;0.001324512;0.001324512;0.001324512;0.001876392;0.001876392;0.001876392;20.1325824;20.1325824;20.1325824
SUAPE, CGDE, KOBLITZ ENERGIA LTDA;Natural gas TPP;-8.287947;-35.033770;0.00171696;0.0150672;0.00839208;0.000031536;0.000031536;0.000031536;0.00126144;0.005256;0.00325872;0.00042048;0.00042048;0.00042048;0.00059568;0.00059568;0.00059568;6.391296;6.391296;6.391296
SUZANO;Natural gas TPP;-23.552984;-46.315180;0.016482816;0.14464512;0.080563968;0.000302746;0.000302746;0.000302746;0.012109824;0.0504576;0.031283712;0.004036608;0.004036608;0.004036608;0.005718528;0.005718528;0.005718528;61.3564416;61.3564416;61.3564416
CELPAV IV;Natural gas TPP;-23.308796;-45.962328;0.059846358;0.525182323;0.29251434;0.001099219;0.001099219;0.001099219;0.043968753;0.183203136;0.113585944;0.014656251;0.014656251;0.014656251;0.020763022;0.020763022;0.020763022;222.7750134;222.7750134;222.7750134
URUGUAIANA;Natural gas TPP;-29.776215;-57.089583;0.274670676;2.41037532;1.342522998;0.005044972;0.005044972;0.005044972;0.201798864;0.8408286;0.521313732;0.067266288;0.067266288;0.067266288;0.095293908;0.095293908;0.095293908;1022.447578;1022.447578;1022.447578
CUIABÁ (MÁRIO COVAS);Natural gas TPP;-15.600190;-56.064620;0.227153808;1.99339056;1.110272184;0.004172213;0.004172213;0.004172213;0.166888512;0.6953688;0.431128656;0.055629504;0.055629504;0.055629504;0.078808464;0.078808464;0.078808464;845.5684608;845.5684608;845.5684608
CTE II;Natural gas TPP;-22.504897;-44.093392;0.076391843;0.670377396;0.373384619;0.001403115;0.001403115;0.001403115;0.056124619;0.23385258;0.1449886;0.018708206;0.018708206;0.018708206;0.026503292;0.026503292;0.026503292;284.3647373;284.3647373;284.3647373
MODULAR DE CAMPO GRANDE (WILLIAN ARJONA);Natural gas TPP;-20.511636;-54.634819;0.088573674;0.77727918;0.432926427;0.001626863;0.001626863;0.001626863;0.065074536;0.2711439;0.168109218;0.021691512;0.021691512;0.021691512;0.030729642;0.030729642;0.030729642;329.7109824;329.7109824;329.7109824
ENERGY WORKS KAISER JACAREÍ;Natural gas TPP;-23.302971;-45.966578;0.00368803;0.032364346;0.018026188;6.77393E-05;6.77393E-05;6.77393E-05;0.002709573;0.011289888;0.006999731;0.000903191;0.000903191;0.000903191;0.001279521;0.001279521;0.001279521;13.72850381;13.72850381;13.72850381
SANTA CRUZ;Natural gas TPP;-23.000372;-43.421579;0.35884464;3.1490448;1.75394472;0.006591024;0.006591024;0.006591024;0.26364096;1.098504;0.68107248;0.08788032;0.08788032;0.08788032;0.12449712;0.12449712;0.12449712;1335.780864;1335.780864;1335.780864
CELSO FURTADO (ANTIGA TERMOBAHIA FASE I);Natural gas TPP;-12.621587;-38.678957;0.079791853;0.700214219;0.390003036;0.001465565;0.001465565;0.001465565;0.058622586;0.244260774;0.15144168;0.019540862;0.019540862;0.019540862;0.027682888;0.027682888;0.027682888;297.0211012;297.0211012;297.0211012
BRAHMA;Natural gas TPP;-22.991491;-43.401602;0.005614459;0.049269744;0.027442102;0.000103123;0.000103123;0.000103123;0.004124909;0.01718712;0.010656014;0.00137497;0.00137497;0.00137497;0.001947874;0.001947874;0.001947874;20.89953792;20.89953792;20.89953792
REFINARIA DUQUE DE CAXIAS - REDUC;Natural gas TPP;-22.787143;-43.297404;0.027170892;0.23843844;0.132804666;0.000499057;0.000499057;0.000499057;0.019962288;0.0831762;0.051569244;0.006654096;0.006654096;0.006654096;0.009426636;0.009426636;0.009426636;101.1422592;101.1422592;101.1422592
UGPU;Natural gas TPP;-23.192062;-46.877181;0.003305148;0.02900436;0.016154754;6.07068E-05;6.07068E-05;6.07068E-05;0.002428272;0.0101178;0.006273036;0.000809424;0.000809424;0.000809424;0.001146684;0.001146684;0.001146684;12.3032448;12.3032448;12.3032448
ARAUCÁRIA;Natural gas TPP;-25.573015;-49.402634;0.207816546;1.82369622;1.015756383;0.003817039;0.003817039;0.003817039;0.152681544;0.6361731;0.394427322;0.050893848;0.050893848;0.050893848;0.072099618;0.072099618;0.072099618;773.5864896;773.5864896;773.5864896
PROJAC CENTRAL GLOBO DE PRODUÇÃO;Natural gas TPP;-22.998467;-43.398843;0.002124738;0.01864566;0.010385199;3.90258E-05;3.90258E-05;3.90258E-05;0.001561032;0.0065043;0.004032666;0.000520344;0.000520344;0.000520344;0.000737154;0.000737154;0.000737154;7.9092288;7.9092288;7.9092288
GOVERNADOR LEONEL BRIZOLA (ANTIGA TERMORIO);Natural gas TPP;-22.779913;-43.315996;0.454264692;3.98640444;2.220334566;0.008343637;0.008343637;0.008343637;0.333745488;1.3906062;0.862175844;0.111248496;0.111248496;0.111248496;0.157602036;0.157602036;0.157602036;1690.977139;1690.977139;1690.977139
CAMAÇARI;Natural gas TPP;-12.602019;-38.303688;0.14886172;1.30633754;0.72759963;0.002734195;0.002734195;0.002734195;0.109367794;0.455699142;0.282533468;0.036455931;0.036455931;0.036455931;0.051645903;0.051645903;0.051645903;554.1301567;554.1301567;554.1301567
CAMPOS (ANTIGA ROBERTO SILVEIRA);Natural gas TPP;-21.726099;-41.311317;0.0128772;0.113004;0.0629406;0.00023652;0.00023652;0.00023652;0.0094608;0.03942;0.0244404;0.0031536;0.0031536;0.0031536;0.0044676;0.0044676;0.0044676;47.93472;47.93472;47.93472
BARBOSA LIMA SOBRINHO (ANTIGA ELETROBOLT);Natural gas TPP;-22.738838;-43.708921;0.161016509;1.413002016;0.787009262;0.002957446;0.002957446;0.002957446;0.118297843;0.49290768;0.305602762;0.039432614;0.039432614;0.039432614;0.05586287;0.05586287;0.05586287;599.3757389;599.3757389;599.3757389
RHODIA PAULÍNIA;Natural gas TPP;-22.759084;-47.153951;0.005192946;0.045570746;0.025381846;9.53806E-05;9.53806E-05;9.53806E-05;0.003815225;0.015896772;0.009855999;0.001271742;0.001271742;0.001271742;0.001801634;0.001801634;0.001801634;19.33047475;19.33047475;19.33047475
LUIZ CARLOS PRESTES (ANTIGA TRÊS LAGOAS);Natural gas TPP;-20.775059;-51.688207;0.165608948;1.453303009;0.809455978;0.003041797;0.003041797;0.003041797;0.12167188;0.506966166;0.314319023;0.040557293;0.040557293;0.040557293;0.057456165;0.057456165;0.057456165;616.4708579;616.4708579;616.4708579
IGUATEMI FORTALEZA;Natural gas TPP;-3.741120;-38.486830;0.002057777;0.018058039;0.010057908;3.77959E-05;3.77959E-05;3.77959E-05;0.001511836;0.006299316;0.003905576;0.000503945;0.000503945;0.000503945;0.000713922;0.000713922;0.000713922;7.659968256;7.659968256;7.659968256
VITÓRIA APART HOSPITAL;Natural gas TPP;-20.116467;-40.284150;0.000901404;0.00791028;0.004405842;1.65564E-05;1.65564E-05;1.65564E-05;0.000662256;0.0027594;0.001710828;0.000220752;0.000220752;0.000220752;0.000312732;0.000312732;0.000312732;3.3554304;3.3554304;3.3554304
CESAR PARK BUSINESS HOTEL/GLOBENERGY;Natural gas TPP;-23.434855;-46.532333;0.000901404;0.00791028;0.004405842;1.65564E-05;1.65564E-05;1.65564E-05;0.000662256;0.0027594;0.001710828;0.000220752;0.000220752;0.000220752;0.000312732;0.000312732;0.000312732;3.3554304;3.3554304;3.3554304
BAYER;Natural gas TPP;-23.551987;-46.634139;0.001648282;0.014464512;0.008056397;3.02746E-05;3.02746E-05;3.02746E-05;0.001210982;0.00504576;0.003128371;0.000403661;0.000403661;0.000403661;0.000571853;0.000571853;0.000571853;6.13564416;6.13564416;6.13564416
EUZÉBIO ROCHA (ANTIGA CUBATÃO - CCBS);Natural gas TPP;-23.854429;-46.414827;0.107267076;0.94132332;0.524295198;0.001970212;0.001970212;0.001970212;0.078808464;0.3283686;0.203588532;0.026269488;0.026269488;0.026269488;0.037215108;0.037215108;0.037215108;399.2962176;399.2962176;399.2962176
CTE FIBRA;Natural gas TPP;-22.379286;-41.797380;0.003782463;0.033193042;0.018487752;6.94738E-05;6.94738E-05;6.94738E-05;0.002778952;0.011578968;0.00717896;0.000926317;0.000926317;0.000926317;0.001312283;0.001312283;0.001312283;14.08002509;14.08002509;14.08002509
MÁRIO LAGO (ANTIGA MACAÉ MERCHANT);Natural gas TPP;-22.377646;-41.784973;0.396023263;3.475306182;1.935664722;0.007273897;0.007273897;0.007273897;0.290955866;1.21231611;0.751635988;0.096985289;0.096985289;0.096985289;0.137395826;0.137395826;0.137395826;1474.17639;1474.17639;1474.17639
TERMOPERNAMBUCO;Natural gas TPP;-8.399111;-35.060564;0.228680057;2.006784171;1.117732114;0.004200246;0.004200246;0.004200246;0.168009838;0.70004099;0.434025414;0.056003279;0.056003279;0.056003279;0.079337979;0.079337979;0.079337979;851.2498436;851.2498436;851.2498436
TERMO NORTE II;Natural gas TPP;-8.754679;-63.862460;0.150212538;1.31819166;0.734202099;0.002759006;0.002759006;0.002759006;0.110360232;0.4598343;0.285097266;0.036786744;0.036786744;0.036786744;0.052114554;0.052114554;0.052114554;559.1585088;559.1585088;559.1585088
SEPÉ TIARAJU (ANTIGA CANOAS);Natural gas TPP;-29.906946;-51.162713;0.106697303;0.93632327;0.521510286;0.001959746;0.001959746;0.001959746;0.078389855;0.326624396;0.202507126;0.026129952;0.026129952;0.026129952;0.037017432;0.037017432;0.037017432;397.175266;397.175266;397.175266
IGUATEMI BAHIA;Natural gas TPP;-12.960972;-38.492457;0.00356956;0.031324709;0.017447134;6.55633E-05;6.55633E-05;6.55633E-05;0.002622534;0.010927224;0.006774879;0.000874178;0.000874178;0.000874178;0.001238419;0.001238419;0.001238419;13.28750438;13.28750438;13.28750438
ENERGYWORKS CORN PRODUCTS MOGI;Natural gas TPP;-22.351021;-46.943427;0.013209861;0.11592327;0.064566566;0.00024263;0.00024263;0.00024263;0.009705204;0.04043835;0.025071777;0.003235068;0.003235068;0.003235068;0.004583013;0.004583013;0.004583013;49.1730336;49.1730336;49.1730336
ENERGYWORKS CORN PRODUCTS BALSA;Natural gas TPP;-25.581870;-49.628309;0.003948579;0.034650793;0.019299686;7.25249E-05;7.25249E-05;7.25249E-05;0.002900997;0.012087486;0.007494241;0.000966999;0.000966999;0.000966999;0.001369915;0.001369915;0.001369915;14.69838298;14.69838298;14.69838298
