Name;Sector;Lat;Long;NOx-low (Gg/year);NOx-high (Gg/year);NOx-mean (Gg/year);SOx-low(Gg/year);SOx-high(Gg/year);SOx-mean(Gg/year);CO-low(Gg/year);CO-high(Gg/year);CO-mean(Gg/year);PM-low(Gg/year);PM-high(Gg/year);PM-mean(Gg/year);TOC-low(Gg/year);TOC-high(Gg/year);TOC-mean(Gg/year);CO2-low(Gg/year);CO2-high(Gg/year);CO2-mean(Gg/year)
CELULOSE IRANI S.A. – 7 -SC;Paper and cellulose;-26.241080;-49.480054;0.016052167;0.032104333;0.02407825;0.112365167;0.224730333;0.16854775;0.176573833;0.353147667;0.26486075;0.008026083;0.898921333;0.453473708;0.118786033;0.118786033;0.118786033;5.457736667;5.457736667;5.457736667
CELULOSE IRANI S.A. – 8 - SC;Paper and cellulose;-26.872293;-51.793133;0.016052167;0.032104333;0.02407825;0.112365167;0.224730333;0.16854775;0.176573833;0.353147667;0.26486075;0.008026083;0.898921333;0.453473708;0.118786033;0.118786033;0.118786033;5.457736667;5.457736667;5.457736667
CELULOSE IRANI S.A. – 11 - RS;Paper and cellulose;-30.200620;-50.343635;0.016052167;0.032104333;0.02407825;0.112365167;0.224730333;0.16854775;0.176573833;0.353147667;0.26486075;0.008026083;0.898921333;0.453473708;0.118786033;0.118786033;0.118786033;5.457736667;5.457736667;5.457736667
FIBRIA – 2 – ES;Paper and cellulose;-19.844403;-40.268891;0.287925;0.57585;0.4318875;2.015475;4.03095;3.0232125;3.167175;6.33435;4.7507625;0.1439625;16.1238;8.13388125;2.130645;2.130645;2.130645;97.8945;97.8945;97.8945
FIBRIA – 3 – SP;Paper and cellulose;-23.371182;-46.026798;0.287925;0.57585;0.4318875;2.015475;4.03095;3.0232125;3.167175;6.33435;4.7507625;0.1439625;16.1238;8.13388125;2.130645;2.130645;2.130645;97.8945;97.8945;97.8945
FIBRIA – 4 – MS;Paper and cellulose;-20.997040;-51.795191;0.287925;0.57585;0.4318875;2.015475;4.03095;3.0232125;3.167175;6.33435;4.7507625;0.1439625;16.1238;8.13388125;2.130645;2.130645;2.130645;97.8945;97.8945;97.8945
FIBRIA - 5 – SP;Paper and cellulose;-24.005014;-48.326613;0.287925;0.57585;0.4318875;2.015475;4.03095;3.0232125;3.167175;6.33435;4.7507625;0.1439625;16.1238;8.13388125;2.130645;2.130645;2.130645;97.8945;97.8945;97.8945
FIBRIA – 6 – RS;Paper and cellulose;-31.771171;-52.458412;0.287925;0.57585;0.4318875;2.015475;4.03095;3.0232125;3.167175;6.33435;4.7507625;0.1439625;16.1238;8.13388125;2.130645;2.130645;2.130645;97.8945;97.8945;97.8945
FIBRIA – 7 – ES;Paper and cellulose;-18.522464;-39.759109;0.287925;0.57585;0.4318875;2.015475;4.03095;3.0232125;3.167175;6.33435;4.7507625;0.1439625;16.1238;8.13388125;2.130645;2.130645;2.130645;97.8945;97.8945;97.8945
FIBRIA – 8 -BA;Paper and cellulose;-17.887091;-39.840772;0.287925;0.57585;0.4318875;2.015475;4.03095;3.0232125;3.167175;6.33435;4.7507625;0.1439625;16.1238;8.13388125;2.130645;2.130645;2.130645;97.8945;97.8945;97.8945
FIBRIA – 9 – MS;Paper and cellulose;-20.897987;-51.757535;0.287925;0.57585;0.4318875;2.015475;4.03095;3.0232125;3.167175;6.33435;4.7507625;0.1439625;16.1238;8.13388125;2.130645;2.130645;2.130645;97.8945;97.8945;97.8945
INTERNATIONAL PAPER – 2 - SP;Paper and cellulose;-22.133874;-47.002021;0.135103333;0.270206667;0.202655;0.945723333;1.891446667;1.418585;1.486136667;2.972273333;2.229205;0.067551667;7.565786667;3.816669167;0.999764667;0.999764667;0.999764667;45.93513333;45.93513333;45.93513333
INTERNATIONAL PAPER – 3 - SP;Paper and cellulose;-21.485416;-47.766701;0.135103333;0.270206667;0.202655;0.945723333;1.891446667;1.418585;1.486136667;2.972273333;2.229205;0.067551667;7.565786667;3.816669167;0.999764667;0.999764667;0.999764667;45.93513333;45.93513333;45.93513333
INTERNATIONAL PAPER – 4 - MS;Paper and cellulose;-20.761102;-51.726300;0.135103333;0.270206667;0.202655;0.945723333;1.891446667;1.418585;1.486136667;2.972273333;2.229205;0.067551667;7.565786667;3.816669167;0.999764667;0.999764667;0.999764667;45.93513333;45.93513333;45.93513333
JARI CELULOSE - PA;Paper and cellulose;-0.924500;-52.432458;0.195173;0.390346;0.2927595;1.366211;2.732422;2.0493165;2.146903;4.293806;3.2203545;0.0975865;10.929688;5.51363725;1.4442802;1.4442802;1.4442802;66.35882;66.35882;66.35882
KLABIN 2 - SP;Paper and cellulose;-22.685867;-47.675489;0.044020412;0.088040824;0.066030618;0.308142882;0.616285765;0.462214324;0.484224529;0.968449059;0.726336794;0.022010206;2.465143059;1.243576632;0.325751047;0.325751047;0.325751047;14.96694;14.96694;14.96694
KLABIN 3 - SP;Paper and cellulose;-23.482352;-48.408956;0.044020412;0.088040824;0.066030618;0.308142882;0.616285765;0.462214324;0.484224529;0.968449059;0.726336794;0.022010206;2.465143059;1.243576632;0.325751047;0.325751047;0.325751047;14.96694;14.96694;14.96694
KLABIN 4 - MG;Paper and cellulose;-19.994185;-44.192549;0.044020412;0.088040824;0.066030618;0.308142882;0.616285765;0.462214324;0.484224529;0.968449059;0.726336794;0.022010206;2.465143059;1.243576632;0.325751047;0.325751047;0.325751047;14.96694;14.96694;14.96694
KLABIN 5 - SC;Paper and cellulose;-27.546573;-50.364285;0.044020412;0.088040824;0.066030618;0.308142882;0.616285765;0.462214324;0.484224529;0.968449059;0.726336794;0.022010206;2.465143059;1.243576632;0.325751047;0.325751047;0.325751047;14.96694;14.96694;14.96694
KLABIN 6 - BA;Paper and cellulose;-12.293665;-38.965325;0.044020412;0.088040824;0.066030618;0.308142882;0.616285765;0.462214324;0.484224529;0.968449059;0.726336794;0.022010206;2.465143059;1.243576632;0.325751047;0.325751047;0.325751047;14.96694;14.96694;14.96694
KLABIN 7 - PE;Paper and cellulose;-7.588721;-35.006407;0.044020412;0.088040824;0.066030618;0.308142882;0.616285765;0.462214324;0.484224529;0.968449059;0.726336794;0.022010206;2.465143059;1.243576632;0.325751047;0.325751047;0.325751047;14.96694;14.96694;14.96694
KLABIN 8 - RJ;Paper and cellulose;-22.588770;-43.016729;0.044020412;0.088040824;0.066030618;0.308142882;0.616285765;0.462214324;0.484224529;0.968449059;0.726336794;0.022010206;2.465143059;1.243576632;0.325751047;0.325751047;0.325751047;14.96694;14.96694;14.96694
