Name;Sector;Lat;Long;NOx-low (Gg/year);NOx-high (Gg/year);NOx-mean (Gg/year);SOx-low(Gg/year);SOx-high(Gg/year);SOx-mean(Gg/year);CO-low(Gg/year);CO-high(Gg/year);CO-mean(Gg/year);PM-low(Gg/year);PM-high(Gg/year);PM-mean(Gg/year);TOC-low(Gg/year);TOC-high(Gg/year);TOC-mean(Gg/year);CO2-low(Gg/year);CO2-high(Gg/year);CO2-mean(Gg/year)
VOTORANTIM 1 - CE;Portland cement;-3.551047;-38.827241;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 2 - CE;Portland cement;-3.686344;-40.374086;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 3 - GO;Portland cement;-15.621271;-47.865104;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 4 - GO;Portland cement;-17.424241;-49.665323;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 5 - MT;Portland cement;-15.597011;-55.962873;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 6 - MT;Portland cement;-14.738307;-56.325399;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 7 - MS;Portland cement;-19.021274;-57.625928;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 8 - MS;Portland cement;-20.535113;-54.581787;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 9 - MG;Portland cement;-20.758502;-46.765161;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 10 - PR;Portland cement;-25.192213;-49.303973;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 11 - PA;Portland cement;-1.535232;-48.615486;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 12 - PE;Portland cement;-0.945743;-47.114490;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 13 -PE;Portland cement;-7.883831;-40.077160;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 14 -PE;Portland cement;-7.934352;-34.868044;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 15 -RS;Portland cement;-31.562696;-53.717756;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 16 -RS;Portland cement;-29.999305;-51.654191;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 17 -RS;Portland cement;-29.849124;-51.189419;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 18 -RS;Portland cement;-31.583267;-53.376706;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 19 -RJ;Portland cement;-21.980591;-42.358974;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 20 -RJ;Portland cement;-22.883923;-43.725968;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 21 - RJ;Portland cement;-22.501560;-44.127541;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 22 -RO;Portland cement;-8.735670;-63.817820;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 23 - SC;Portland cement;-28.437942;-48.964934;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 24 -SC;Portland cement;-28.233396;-48.661437;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 25 - SC;Portland cement;-26.859714;-48.667429;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 26- SC;Portland cement;-28.426057;-48.938896;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 27 - SE;Portland cement;-10.797551;-37.166303;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 28 - SP;Portland cement;-24.111268;-48.371378;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
